,Region,Incident ID,Incident Type,Full Location ,Start Date,Start Time,Duration ICT,Lanes Blocked,Blockage Duration RCT,Response Time,"Rural/
Urban",Key ,County,Interstate,Route,Direction,Unnamed: 16,Description,Inc MM,Latitude,Longitude,Severity Lanes,Severity Duration,Severity,Temp,Prec,Condition,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description,icon,stations,geometry
21004,3,28106,Vehicle Fire,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 201.8",2021-07-02,7:42:46 AM,30,3,21,0,Urban,23182,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 201.8          ,201.8,36.1379234,-86.89024552,Level 3,Level 1,Level 1,72.5,0.01,Rain,nashville tennessee,2021-07-02,83.8,70.6,75.8,84.7,70.6,76.3,65.6,72.34,0.01,8.33,0.0,0.0,24.4,14.4,178.5,1013.4,69.3,9.7,2021-07-02T05:34:15,2021-07-02T20:08:10,0.78,Rain,Partly cloudy throughout the day with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.89024551999999 36.1379234)
21090,3,28215,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Beyond MILE MARKER 62.6",2021-07-03,9:17:41 AM,11,1,10,0,Urban,23284,DAVIDSON,I-24E,I-24,Eastbound,Beyond,MILE MARKER 62.6          ,62.6,36.01376,-86.619819,Level 2,Level 1,Level 1,72.4,0.0,Clear,nashville tennessee,2021-07-03,82.1,61.4,72.8,81.3,61.4,72.6,55.7,57.4,0.0,0.0,0.0,0.0,13.9,9.0,169.3,1015.8,31.9,9.9,2021-07-03T05:34:44,2021-07-03T20:08:03,0.83,Clear,Becoming cloudy in the afternoon.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.61981900000001 36.01376)
21123,3,28255,Vehicle Fire,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 77",2021-07-03,2:18:04 PM,136.6166667,2,10.16666667,7.533333333,Urban,23323,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 77          ,77.0,36.07079392,-86.76983875,Level 3,Level 1,Level 1,81.6,0.0,Clear,nashville tennessee,2021-07-03,82.1,61.4,72.8,81.3,61.4,72.6,55.7,57.4,0.0,0.0,0.0,0.0,13.9,9.0,169.3,1015.8,31.9,9.9,2021-07-03T05:34:44,2021-07-03T20:08:03,0.83,Clear,Becoming cloudy in the afternoon.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.76983875000001 36.07079392)
21124,3,28256,Vehicle Fire,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 74.4",2021-07-03,2:18:17 PM,5.8,0,0,0,Urban,23324,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 74.4          ,74.4,36.03648284,-86.78298286,Level 1,Level 1,Level 1,81.6,0.0,Clear,nashville tennessee,2021-07-03,82.1,61.4,72.8,81.3,61.4,72.6,55.7,57.4,0.0,0.0,0.0,0.0,13.9,9.0,169.3,1015.8,31.9,9.9,2021-07-03T05:34:44,2021-07-03T20:08:03,0.83,Clear,Becoming cloudy in the afternoon.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.78298286 36.03648284)
21145,3,28281,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Before MILE MARKER 61.4",2021-07-03,5:26:14 PM,"1,027",0,5,8,Urban,23349,DAVIDSON,I-24W,I-24,Westbound,Before,MILE MARKER 61.4          ,61.4,36.026098,-86.633582,Level 1,Level 1,Level 1,82.1,0.0,Clear,nashville tennessee,2021-07-03,82.1,61.4,72.8,81.3,61.4,72.6,55.7,57.4,0.0,0.0,0.0,0.0,13.9,9.0,169.3,1015.8,31.9,9.9,2021-07-03T05:34:44,2021-07-03T20:08:03,0.83,Clear,Becoming cloudy in the afternoon.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.633582 36.026098)
21673,3,28942,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 55.4",2021-07-09,10:49:46 AM,308,0,14,-1,Urban,23939,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 55.4          ,55.4,36.04869647,-86.66519886,Level 1,Level 1,Level 1,81.0,0.0,Clear,nashville tennessee,2021-07-09,90.5,74.3,80.2,96.2,74.3,82.6,70.4,72.85,0.0,0.0,0.0,0.0,25.3,13.4,221.8,1016.6,70.2,9.9,2021-07-09T05:37:59,2021-07-09T20:06:40,1.0,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.66519886 36.04869647)
21693,3,28972,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, At EXIT 59: SR-254 / BELL RD.",2021-07-09,1:55:43 PM,25,0,17,1,Urban,23962,DAVIDSON,I-24W,I-24,Westbound,At,EXIT 59 SR-254 / BELL RD.       ,59.0,36.01428939,-86.6206324,Level 1,Level 1,Level 1,89.0,0.0,Clear,nashville tennessee,2021-07-09,90.5,74.3,80.2,96.2,74.3,82.6,70.4,72.85,0.0,0.0,0.0,0.0,25.3,13.4,221.8,1016.6,70.2,9.9,2021-07-09T05:37:59,2021-07-09T20:06:40,1.0,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.62063240000001 36.01428939)
21751,3,29031,Vehicle Fire,"DAVIDSON on Interstate 65 Southbound, Beyond MILE MARKER 85.2",2021-07-09,6:48:18 PM,82.18333333,0,0,0.85,Urban,24020,DAVIDSON,I-65S,I-65,Southbound,Beyond,MILE MARKER 85.2          ,85.2,36.19546225,-86.77562808,Level 1,Level 1,Level 1,83.3,0.0,Clear,nashville tennessee,2021-07-09,90.5,74.3,80.2,96.2,74.3,82.6,70.4,72.85,0.0,0.0,0.0,0.0,25.3,13.4,221.8,1016.6,70.2,9.9,2021-07-09T05:37:59,2021-07-09T20:06:40,1.0,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.77562808 36.19546225)
21900,3,29235,Vehicle Fire,"HICKMAN on Interstate 40 Westbound, Beyond MILE MARKER 152",2021-07-12,6:51:28 AM,33,1,33,0,Rural,24193,HICKMAN,I-40W,I-40,Westbound,Beyond,MILE MARKER 152          ,152.0,35.89169931,-87.64781006,Level 2,Level 2,Level 2,73.0,0.0,Clear,nashville tennessee,2021-07-12,84.5,73.0,78.1,88.2,73.0,79.4,69.8,76.74,0.03,16.67,0.0,0.0,26.4,14.9,172.7,1017.0,78.1,9.9,2021-07-12T05:39:49,2021-07-12T20:05:35,0.03,Rain,Partly cloudy throughout the day with rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-87.64781006 35.89169931)
22283,3,29777,Vehicle Fire,"RUTHERFORD on Interstate 24 Westbound, Beyond MILE MARKER 79.8",2021-07-15,8:04:46 PM,62,1,42,2,Urban,24641,RUTHERFORD,I-24W,I-24,Westbound,Beyond,MILE MARKER 79.8          ,79.8,35.83018725,-86.41645345,Level 2,Level 2,Level 2,85.2,0.0,Clear,nashville tennessee,2021-07-15,92.3,71.7,82.2,94.7,71.7,84.4,68.4,65.52,0.0,0.0,0.0,0.0,17.2,10.6,196.0,1020.1,28.4,9.9,2021-07-15T05:41:47,2021-07-15T20:04:14,0.14,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.41645345000001 35.83018725)
22296,3,29795,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Before MILE MARKER 56.2",2021-07-16,2:54:10 AM,237,0,15,-188,Urban,24654,DAVIDSON,I-24W,I-24,Westbound,Before,MILE MARKER 56.2          ,56.2,36.080559,-86.696667,Level 1,Level 1,Level 1,74.3,0.0,Clear,nashville tennessee,2021-07-16,91.1,73.1,81.8,94.9,73.1,84.3,69.2,67.45,0.02,12.5,0.0,0.0,25.3,17.0,171.2,1017.3,46.0,9.9,2021-07-16T05:42:27,2021-07-16T20:03:44,0.2,Rain,Partly cloudy throughout the day with rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.69666700000001 36.080559)
22335,3,29863,Vehicle Fire,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 213",2021-07-16,12:49:05 PM,292,2,23,1,Urban,24708,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 213          ,213.0,36.14071979,-86.72763708,Level 3,Level 1,Level 1,89.6,0.0,Clear,nashville tennessee,2021-07-16,91.1,73.1,81.8,94.9,73.1,84.3,69.2,67.45,0.02,12.5,0.0,0.0,25.3,17.0,171.2,1017.3,46.0,9.9,2021-07-16T05:42:27,2021-07-16T20:03:44,0.2,Rain,Partly cloudy throughout the day with rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.72763707999999 36.14071979)
22875,3,30600,Vehicle Fire,"RUTHERFORD on Interstate 24 Westbound, At EXIT 70: SR102 / LEE VICTY PWY / ALMAVILLE RD",2021-07-22,12:23:55 PM,53,0,23,0,Urban,25324,RUTHERFORD,I-24W,I-24,Westbound,At,EXIT 70 SR102 / LEE VICTY PWY / ALMAVILLE RD   ,70.0,35.93591541,-86.53316976,Level 1,Level 1,Level 1,86.6,0.0,Clear,nashville tennessee,2021-07-22,89.0,68.0,79.0,91.3,68.0,80.1,66.3,67.36,0.0,0.0,0.0,0.0,,10.0,74.0,1020.4,14.1,7.1,2021-07-22T05:46:43,2021-07-22T20:00:08,0.48,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.53316976000001 35.93591541)
23148,3,30968,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 211.2",2021-07-25,5:07:21 AM,82,3,81,-1,Urban,25636,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 211.2          ,211.2,36.153941,-86.757846,Level 3,Level 2,Level 2,75.5,0.0,Clear,nashville tennessee,2021-07-25,95.9,74.3,82.8,102.6,74.3,86.0,71.9,72.01,0.97,8.33,0.0,0.0,33.3,20.4,156.2,1014.6,40.1,8.9,2021-07-25T05:48:57,2021-07-25T19:57:58,0.52,Rain,Partly cloudy throughout the day with late afternoon rain.,Rain,"72327013897,KJWN,KBNA,KM91,KMQY,72327313827",POINT (-86.757846 36.153941)
23183,3,31014,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Before MILE MARKER 57.4",2021-07-25,2:28:05 PM,"1,124",2,29,5,Urban,25673,DAVIDSON,I-24W,I-24,Westbound,Before,MILE MARKER 57.4          ,57.4,36.03175255,-86.63988272,Level 3,Level 1,Level 1,94.0,0.0,Clear,nashville tennessee,2021-07-25,95.9,74.3,82.8,102.6,74.3,86.0,71.9,72.01,0.97,8.33,0.0,0.0,33.3,20.4,156.2,1014.6,40.1,8.9,2021-07-25T05:48:57,2021-07-25T19:57:58,0.52,Rain,Partly cloudy throughout the day with late afternoon rain.,Rain,"72327013897,KJWN,KBNA,KM91,KMQY,72327313827",POINT (-86.63988272 36.03175255)
23210,3,31045,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 42.8",2021-07-25,6:23:12 PM,"1,030",1,22,0,Urban,25703,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 42.8          ,42.8,36.24593814,-86.78422709,Level 2,Level 1,Level 1,80.9,0.52,Rain,nashville tennessee,2021-07-25,95.9,74.3,82.8,102.6,74.3,86.0,71.9,72.01,0.97,8.33,0.0,0.0,33.3,20.4,156.2,1014.6,40.1,8.9,2021-07-25T05:48:57,2021-07-25T19:57:58,0.52,Rain,Partly cloudy throughout the day with late afternoon rain.,Rain,"72327013897,KJWN,KBNA,KM91,KMQY,72327313827",POINT (-86.78422709 36.24593814)
23237,3,31080,Vehicle Fire,"RUTHERFORD on Interstate 24 Eastbound, Before MILE MARKER 63.8",2021-07-26,7:43:13 AM,736,1,5,0,Urban,25731,RUTHERFORD,I-24E,I-24,Eastbound,Before,MILE MARKER 63.8          ,63.8,36.00052424,-86.60477695,Level 2,Level 1,Level 1,76.1,0.0,Clear,nashville tennessee,2021-07-26,92.0,74.9,81.0,99.6,74.9,84.9,73.0,77.95,0.22,12.5,0.0,0.0,12.8,11.3,96.3,1014.6,49.5,9.6,2021-07-26T05:49:43,2021-07-26T19:57:12,0.54,Rain,Partly cloudy throughout the day with rain in the morning and afternoon.,Rain,"72327013897,KJWN,KBNA,KM91,KMQY,72327313827",POINT (-86.60477695 36.00052424)
23410,3,31324,Vehicle Fire,"RUTHERFORD on Interstate 24 Eastbound, Beyond MILE MARKER 75.4",2021-07-27,4:27:27 PM,139,2,101,1,Urban,25932,RUTHERFORD,I-24E,I-24,Eastbound,Beyond,MILE MARKER 75.4          ,75.4,35.87591766,-86.46670314,Level 3,Level 3,Level 3,91.2,0.0,Clear,nashville tennessee,2021-07-27,92.3,74.9,83.8,100.0,74.9,88.3,73.1,72.26,0.05,16.67,0.0,0.0,12.8,11.1,106.8,1015.6,48.5,8.6,2021-07-27T05:50:29,2021-07-27T19:56:24,0.57,Rain,Partly cloudy throughout the day with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KM91,KMQY,72327313827",POINT (-86.46670314000001 35.87591766)
23754,3,31755,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Beyond MILE MARKER 59",2021-07-30,1:42:47 PM,129,1,19,-1,Urban,26305,DAVIDSON,I-24W,I-24,Westbound,Beyond,MILE MARKER 59          ,59.0,36.01428939,-86.6206324,Level 2,Level 1,Level 1,91.7,0.0,Clear,nashville tennessee,2021-07-30,92.5,80.1,85.7,100.6,83.3,92.2,73.0,67.46,0.0,0.0,0.0,0.0,18.3,11.9,272.3,1015.7,50.3,9.3,2021-07-30T05:52:48,2021-07-30T19:53:51,0.7,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KM91,KMQY,72327313827",POINT (-86.62063240000001 36.01428939)
23756,3,31757,Vehicle Fire,"RUTHERFORD on Interstate 24 Eastbound, Beyond MILE MARKER 71.2",2021-07-30,1:53:06 PM,59,1,21,12,Urban,26307,RUTHERFORD,I-24E,I-24,Eastbound,Beyond,MILE MARKER 71.2          ,71.2,35.92305788,-86.51887622,Level 2,Level 1,Level 1,91.7,0.0,Clear,nashville tennessee,2021-07-30,92.5,80.1,85.7,100.6,83.3,92.2,73.0,67.46,0.0,0.0,0.0,0.0,18.3,11.9,272.3,1015.7,50.3,9.3,2021-07-30T05:52:48,2021-07-30T19:53:51,0.7,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KM91,KMQY,72327313827",POINT (-86.51887622 35.92305788)
24315,3,32466,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 47.2",2021-08-04,7:34:11 PM,71,2,0,0,Urban,26927,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 47.2          ,47.2,36.16186835,-86.7607573,Level 3,Level 1,Level 1,81.6,0.0,Clear,nashville tennessee,2021-08-04,85.1,62.1,74.8,83.4,62.1,74.4,56.7,56.26,0.0,0.0,0.0,0.0,18.1,10.8,97.9,1017.2,14.5,9.9,2021-08-04T05:56:44,2021-08-04T19:49:09,0.93,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KM91,KMQY,72327313827",POINT (-86.76075729999999 36.16186835)
24451,3,32638,Vehicle Fire,"DAVIDSON on Interstate 65 Northbound, At EXIT 92: SR-45 / OLD HICKORY BLVD. / MADISON",2021-08-05,10:11:13 PM,0.716666667,0,0,0,Urban,27079,DAVIDSON,I-65N,I-65,Northbound,At,EXIT 92 SR-45 / OLD HICKORY BLVD. / MADISON    ,92.0,36.260964,-86.738327,Level 1,Level 1,Level 1,74.1,0.0,Clear,nashville tennessee,2021-08-05,87.2,62.1,75.4,85.8,62.1,75.0,58.9,60.19,0.0,0.0,0.0,0.0,12.8,6.4,118.3,1018.9,19.6,9.9,2021-08-05T05:57:32,2021-08-05T19:48:09,0.96,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KM91,KMQY,72327313827",POINT (-86.738327 36.260964)
24555,3,32769,Vehicle Fire,"RUTHERFORD on Interstate 24 Westbound, Before MILE MARKER 65.2",2021-08-06,5:54:13 PM,30,2,14,-1,Urban,27193,RUTHERFORD,I-24W,I-24,Westbound,Before,MILE MARKER 65.2          ,65.2,35.98939261,-86.58735363,Level 3,Level 1,Level 1,80.9,0.0,Clear,nashville tennessee,2021-08-06,83.9,66.6,75.4,87.8,66.6,76.2,66.0,73.42,0.0,0.0,0.0,0.0,16.1,8.2,130.2,1018.9,53.2,9.7,2021-08-06T05:58:20,2021-08-06T19:47:07,0.98,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.58735363 35.98939261)
24691,3,32954,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Before EXIT 62: SR-171 / OLD HICKORY BLVD.",2021-08-08,10:49:27 AM,6,0,0,0,Urban,27337,DAVIDSON,I-24E,I-24,Eastbound,Before,EXIT 62 SR-171 / OLD HICKORY BLVD.      ,62.0,36.02057,-86.627399,Level 1,Level 1,Level 1,82.6,0.0,Clear,nashville tennessee,2021-08-08,89.6,70.2,80.0,92.7,70.2,81.5,67.6,67.94,0.0,0.0,0.0,0.0,15.0,8.8,188.5,1017.2,31.2,9.9,2021-08-08T05:59:55,2021-08-08T19:45:00,1.0,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.627399 36.02057)
24937,3,33295,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Beyond MILE MARKER 217",2021-08-10,3:38:34 PM,796,0,0,4,Urban,27613,DAVIDSON,I-40E,I-40,Eastbound,Beyond,MILE MARKER 217          ,217.0,36.140931,-86.660064,Level 1,Level 1,Level 1,95.1,0.0,Clear,nashville tennessee,2021-08-10,95.1,75.5,85.5,102.1,75.5,90.1,71.8,65.76,0.0,0.0,0.0,0.0,21.9,10.2,206.3,1018.9,33.3,9.9,2021-08-10T06:01:31,2021-08-10T19:42:48,0.02,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.66006400000001 36.140931)
24960,3,33321,Vehicle Fire,"RUTHERFORD on Interstate 24 Westbound, Before MILE MARKER 71.4",2021-08-10,6:22:56 PM,730,1,16,-2,Urban,27639,RUTHERFORD,I-24W,I-24,Westbound,Before,MILE MARKER 71.4          ,71.4,35.92085724,-86.51644326,Level 2,Level 1,Level 1,93.8,0.0,Clear,nashville tennessee,2021-08-10,95.1,75.5,85.5,102.1,75.5,90.1,71.8,65.76,0.0,0.0,0.0,0.0,21.9,10.2,206.3,1018.9,33.3,9.9,2021-08-10T06:01:31,2021-08-10T19:42:48,0.02,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.51644326 35.92085724)
25115,3,33521,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, At EXIT 210C: US31A S / US-41A S / 4TH AVE / 2ND AVE",2021-08-12,5:05:52 AM,80,2,70,11,Urban,27806,DAVIDSON,I-40E,I-40,Eastbound,At,EXIT 210C: US31A S / US-41A S / 4TH AVE / 2ND AVE,210.0,36.14856036,-86.77624462,Level 3,Level 2,Level 2,73.6,0.0,Clear,nashville tennessee,2021-08-12,93.4,73.0,82.6,101.2,73.0,86.4,70.0,66.67,0.0,0.0,0.0,0.0,16.1,9.7,172.4,1019.1,32.8,9.9,2021-08-12T06:03:07,2021-08-12T19:40:32,0.09,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.77624462 36.14856036)
25622,3,34189,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 57",2021-08-16,8:46:31 PM,214,4,198,0,Urban,28365,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 57          ,57.0,36.03617161,-86.644812,Level 3,Level 3,Level 3,77.6,0.0,Clear,nashville tennessee,2021-08-16,81.5,71.1,75.8,85.8,71.1,76.7,70.6,84.48,0.01,4.17,0.0,0.0,11.4,8.4,87.6,1016.1,83.1,8.8,2021-08-16T06:06:19,2021-08-16T19:35:47,0.3,Rain,Partly cloudy throughout the day with afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.644812 36.03617161)
25699,3,34302,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 55.4",2021-08-17,3:01:46 PM,139,1,9,1,Urban,28452,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 55.4          ,55.4,36.04869647,-86.66519886,Level 2,Level 1,Level 1,85.8,0.0,Clear,nashville tennessee,2021-08-17,87.2,71.0,78.3,90.7,71.0,79.7,69.4,75.5,0.0,0.0,0.0,0.0,,7.0,83.9,1015.0,47.4,9.9,2021-08-17T06:07:06,2021-08-17T19:34:33,0.35,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.66519886 36.04869647)
25936,3,34650,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Beyond MILE MARKER 49.2",2021-08-19,9:36:41 PM,44,3,26,3,Urban,28734,DAVIDSON,I-24E,I-24,Eastbound,Beyond,MILE MARKER 49.2          ,49.2,36.164118,-86.76284,Level 3,Level 1,Level 1,76.7,0.0,Clear,nashville tennessee,2021-08-19,83.4,72.4,77.0,88.7,72.4,78.6,71.2,82.95,0.05,25.0,0.0,0.0,,5.2,138.7,1018.3,81.0,9.7,2021-08-19T06:08:42,2021-08-19T19:32:03,0.44,Rain,Partly cloudy throughout the day with rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.76284 36.164118)
26072,3,34833,Vehicle Fire,"DAVIDSON on Interstate 65 Northbound, Beyond MILE MARKER 88.4",2021-08-21,9:00:46 AM,998.6,2,20.35,5.1,Urban,28890,DAVIDSON,I-65N,I-65,Northbound,Beyond,MILE MARKER 88.4          ,88.4,36.23708595,-86.75978437,Level 3,Level 1,Level 1,75.6,0.0,Clear,nashville tennessee,2021-08-21,82.2,74.7,76.7,86.2,74.7,77.4,72.2,86.33,2.14,62.5,0.0,0.0,,7.4,155.9,1011.7,88.7,8.6,2021-08-21T06:10:17,2021-08-21T19:29:29,0.49,Rain,Partly cloudy throughout the day with rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.75978437000001 36.23708595)
26243,3,35050,Vehicle Fire,"DAVIDSON on Interstate 65 Northbound, At EXIT 90B: BRILEY PKWY / SR-155",2021-08-23,9:18:23 AM,501.5833333,0,37.61666667,0.033333333,Urban,29074,DAVIDSON,I-65N,I-65,Northbound,At,EXIT 90B: BRILEY PKWY / SR-155       ,90.0,36.25294824,-86.73945704,Level 1,Level 2,Level 1,81.4,0.0,Clear,nashville tennessee,2021-08-23,91.8,71.7,81.6,96.5,71.7,84.0,70.2,70.91,0.0,0.0,0.0,0.0,11.4,4.7,103.0,1015.6,14.0,8.8,2021-08-23T06:11:52,2021-08-23T19:26:52,0.51,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.73945704 36.25294824)
26326,3,35168,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 214",2021-08-24,7:47:49 AM,12,1,2,0,Urban,29164,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 214          ,214.0,36.1425101,-86.70904126,Level 2,Level 1,Level 1,72.3,0.0,Clear,nashville tennessee,2021-08-24,94.9,72.3,82.3,98.9,72.3,84.7,70.0,69.66,0.0,0.0,0.0,0.0,11.4,5.9,82.9,1016.7,18.8,8.5,2021-08-24T06:12:39,2021-08-24T19:25:32,0.53,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.70904126000001 36.1425101)
26432,3,35300,Vehicle Fire,"MONTGOMERY on Interstate 24 Eastbound, Beyond MILE MARKER 12.6",2021-08-25,5:07:48 AM,53,2,35,12,Urban,29276,MONTGOMERY,I-24E,I-24,Eastbound,Beyond,MILE MARKER 12.6          ,12.6,36.50709569,-87.19538679,Level 3,Level 2,Level 2,73.0,0.0,Clear,nashville tennessee,2021-08-25,95.0,72.5,83.4,102.2,72.5,86.8,70.7,68.5,0.0,0.0,0.0,0.0,17.2,6.8,129.6,1018.6,14.8,8.5,2021-08-25T06:13:26,2021-08-25T19:24:11,0.55,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-87.19538679 36.50709569)
26491,3,35386,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 213.2",2021-08-25,1:07:36 PM,163,1,1,-1,Urban,29342,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 213.2          ,213.2,36.14037728,-86.72393628,Level 2,Level 1,Level 1,93.7,0.0,Clear,nashville tennessee,2021-08-25,95.0,72.5,83.4,102.2,72.5,86.8,70.7,68.5,0.0,0.0,0.0,0.0,17.2,6.8,129.6,1018.6,14.8,8.5,2021-08-25T06:13:26,2021-08-25T19:24:11,0.55,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.72393628 36.14037728)
26717,3,35688,Vehicle Fire,"RUTHERFORD on Interstate 840 Eastbound, Before MILE MARKER 48.6",2021-08-27,8:46:33 AM,245,2,201,1,Urban,29599,RUTHERFORD,I-840E,I-840,Eastbound,Before,MILE MARKER 48.6          ,48.6,35.86334499,-86.54749837,Level 3,Level 3,Level 3,79.7,0.0,Clear,nashville tennessee,2021-08-27,92.7,73.9,82.8,96.7,73.9,85.2,69.4,66.11,0.0,0.0,0.0,0.0,16.1,11.2,140.7,1019.0,28.9,9.9,2021-08-27T06:15:00,2021-08-27T19:21:28,0.63,Clear,Becoming cloudy in the afternoon.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.54749837 35.86334499)
26816,3,35815,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 200.4",2021-08-28,9:13:25 AM,21,0,0,9,Urban,29705,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 200.4          ,200.4,36.12419115,-86.90764252,Level 1,Level 1,Level 1,82.1,0.0,Clear,nashville tennessee,2021-08-28,91.7,74.1,80.5,97.8,74.1,82.5,70.8,73.81,0.18,12.5,0.0,0.0,25.3,12.9,96.2,1020.3,43.5,9.9,2021-08-28T06:15:47,2021-08-28T19:20:06,0.67,Rain,Partly cloudy throughout the day with afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.90764252 36.12419115)
